[2020-10-27 15:13:21,886][read_data.py 24][INFO]: 读到数据 ==>>  {'test_detect_image_faces_success': [['test-project', 'oss://imm-test/testcases/test.jpg', '200', True, True, 'oss://imm-test/testcases/test.jpg'], ['test-project', 'oss://imm-test/testcases/test.png', '200', True, True, 'oss://imm-test/testcases/test.png'], ['test-project', 'oss://imm-test/testcases/test.bmp', '200', True, True, 'oss://imm-test/testcases/test.bmp'], ['test-project', 'oss://imm-test/testcases/test.tif', '200', True, True, 'oss://imm-test/testcases/test.tif'], ['test-project', 'oss://imm-test/testcases/test.gif', '200', True, True, 'oss://imm-test/testcases/test.gif']], 'test_detect_image_faces_fail': [['non-exist-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不存在'], ['other-user-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不是当前用户的project'], ['test-project', 'oss://imm-test/testcases', '400', True, False, False, 'ImageUri路径不是图片'], ['test-project', 'oss://aaa/testcases/test.jpg', '400', True, False, False, '当前project不存在的obs'], ['test-project', 'test://imm-test/testcases/test.jpg', '400', True, False, False, 'ImageUri路径格式异常'], ['test-project', 'oss://imm-test/testcases/notexistpic.jpg', '400', True, False, False, 'ImageUri路径图片不存在'], ['test-project', 'oss://imm-test/testcases/test.txt', '400', True, False, False, 'ImageUri不是图片格式'], ['test-project', 'oss://imm-test/testcases/aaa.jpg', '400', True, False, False, '图片异常分析失败']]} 
[2020-10-27 15:13:22,408][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:22,687][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:22,882][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,070][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,273][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,427][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,580][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,711][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,834][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:23,983][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:24,109][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:24,250][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:13:24,381][test_detect_image_faces.py 53][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:08,744][read_data.py 21][INFO]: 加载 G:\work\IMMTestProject\data\api_test_data.yml 文件......
[2020-10-27 15:24:08,758][read_data.py 24][INFO]: 读到数据 ==>>  {'test_detect_image_faces_success': [['test-project', 'oss://imm-test/testcases/test.jpg', '200', True, True, 'oss://imm-test/testcases/test.jpg'], ['test-project', 'oss://imm-test/testcases/test.png', '200', True, True, 'oss://imm-test/testcases/test.png'], ['test-project', 'oss://imm-test/testcases/test.bmp', '200', True, True, 'oss://imm-test/testcases/test.bmp'], ['test-project', 'oss://imm-test/testcases/test.tif', '200', True, True, 'oss://imm-test/testcases/test.tif'], ['test-project', 'oss://imm-test/testcases/test.gif', '200', True, True, 'oss://imm-test/testcases/test.gif']], 'test_detect_image_faces_fail': [['non-exist-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不存在'], ['other-user-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不是当前用户的project'], ['test-project', 'oss://imm-test/testcases', '400', True, False, False, 'ImageUri路径不是图片'], ['test-project', 'oss://aaa/testcases/test.jpg', '400', True, False, False, '当前project不存在的obs'], ['test-project', 'test://imm-test/testcases/test.jpg', '400', True, False, False, 'ImageUri路径格式异常'], ['test-project', 'oss://imm-test/testcases/notexistpic.jpg', '400', True, False, False, 'ImageUri路径图片不存在'], ['test-project', 'oss://imm-test/testcases/test.txt', '400', True, False, False, 'ImageUri不是图片格式'], ['test-project', 'oss://imm-test/testcases/aaa.jpg', '400', True, False, False, '图片异常分析失败']]} 
[2020-10-27 15:24:09,335][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:09,565][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:09,672][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:09,796][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:09,966][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,098][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,236][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,361][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,508][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,629][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,737][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:10,870][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:24:11,013][test_detect_image_faces.py 60][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:15,655][read_data.py 21][INFO]: 加载 G:\work\IMMTestProject\data\api_test_data.yml 文件......
[2020-10-27 15:27:15,669][read_data.py 24][INFO]: 读到数据 ==>>  {'test_detect_image_faces_success': [['test-project', 'oss://imm-test/testcases/test.jpg', '200', True, True, 'oss://imm-test/testcases/test.jpg'], ['test-project', 'oss://imm-test/testcases/test.png', '200', True, True, 'oss://imm-test/testcases/test.png'], ['test-project', 'oss://imm-test/testcases/test.bmp', '200', True, True, 'oss://imm-test/testcases/test.bmp'], ['test-project', 'oss://imm-test/testcases/test.tif', '200', True, True, 'oss://imm-test/testcases/test.tif'], ['test-project', 'oss://imm-test/testcases/test.gif', '200', True, True, 'oss://imm-test/testcases/test.gif']], 'test_detect_image_faces_fail': [['non-exist-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不存在'], ['other-user-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不是当前用户的project'], ['test-project', 'oss://imm-test/testcases', '400', True, False, False, 'ImageUri路径不是图片'], ['test-project', 'oss://aaa/testcases/test.jpg', '400', True, False, False, '当前project不存在的obs'], ['test-project', 'test://imm-test/testcases/test.jpg', '400', True, False, False, 'ImageUri路径格式异常'], ['test-project', 'oss://imm-test/testcases/notexistpic.jpg', '400', True, False, False, 'ImageUri路径图片不存在'], ['test-project', 'oss://imm-test/testcases/test.txt', '400', True, False, False, 'ImageUri不是图片格式'], ['test-project', 'oss://imm-test/testcases/aaa.jpg', '400', True, False, False, '图片异常分析失败']]} 
[2020-10-27 15:27:16,247][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:16,379][test_detect_image_faces.py 59][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:27:16,387][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:16,516][test_detect_image_faces.py 59][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:27:16,527][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:16,652][test_detect_image_faces.py 59][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:27:16,663][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:16,810][test_detect_image_faces.py 59][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:27:16,816][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:16,921][test_detect_image_faces.py 59][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:27:16,925][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
